"B2B Settings","Configurações B2B"
"Please enter a valid CNPJ","Por favor, digite um CNPJ válido"
"Please enter a valid CPF","Por favor, digite um CPF válido"
"CNPJ is required","CNPJ é obrigatório"
"Razão Social is required","Razão Social é obrigatória"
"Email is required","Email é obrigatório"
"Password is required","Senha é obrigatória"
"Passwords do not match","As senhas não conferem"
"Invalid CNPJ format","Formato de CNPJ inválido"
"Invalid CPF format","Formato de CPF inválido"
"This CNPJ is already registered","Este CNPJ já está cadastrado"
"This email is already registered","Este email já está cadastrado"

"Registration Success","Sucesso no Cadastro"
"Thank you for registering!","Obrigado por se cadastrar!"
"Your account is pending approval.","Sua conta está aguardando aprovação."
"You will receive an email once your account is approved.","Você receberá um email assim que sua conta for aprovada."
"Registration submitted successfully","Cadastro enviado com sucesso"

"B2B Dashboard","Painel B2B"
"My B2B Account","Minha Conta B2B"
"B2B Account Dashboard","Painel da Conta B2B"
"Company Details","Detalhes da Empresa"
"Account Status","Status da Conta"
"Approved","Aprovado"
"Pending","Pendente"
"Rejected","Rejeitado"
"Your Discount","Seu Desconto"
"Credit Limit","Limite de Crédito"
"Available Credit","Crédito Disponível"
"Used Credit","Crédito Utilizado"

"Quick Actions","Ações Rápidas"
"Request Quote","Solicitar Cotação"
"View Quotes","Ver Cotações"
"My Shopping Lists","Minhas Listas de Compras"
"Create Shopping List","Criar Lista de Compras"
"Recent Orders","Pedidos Recentes"
"Recent Quotes","Cotações Recentes"
"Purchases Last 30 Days","Compras nos Últimos 30 Dias"
"View All Orders","Ver Todos os Pedidos"
"View All Quotes","Ver Todas as Cotações"

"Quote System","Sistema de Cotação"
"Request a Quote","Solicitar Cotação"
"Quote Request","Solicitação de Cotação"
"Submit Quote Request","Enviar Solicitação de Cotação"
"Quote History","Histórico de Cotações"
"My Quotes","Minhas Cotações"
"Quote #%1","Cotação #%1"
"Quote ID","ID da Cotação"
"Quote Date","Data da Cotação"
"Quote Status","Status da Cotação"
"Quote Total","Total da Cotação"
"Quoted Price","Preço Cotado"
"Valid Until","Válido Até"
"Expires On","Expira Em"
"Items in Quote","Itens na Cotação"
"Add Message","Adicionar Mensagem"
"Your Message","Sua Mensagem"
"Additional Notes","Observações Adicionais"
"Special Requirements","Requisitos Especiais"

"Quote Status Labels","Status da Cotação"
"Pending","Pendente"
"Processing","Em Processamento"
"Approved","Aprovada"
"Rejected","Rejeitada"
"Expired","Expirada"
"Converted","Convertida em Pedido"
"Cancelled","Cancelada"

"Quote Actions","Ações da Cotação"
"View Quote","Ver Cotação"
"Accept Quote","Aceitar Cotação"
"Decline Quote","Recusar Cotação"
"Convert to Order","Converter em Pedido"
"Add to Cart","Adicionar ao Carrinho"
"Print Quote","Imprimir Cotação"

"Admin Quote Management","Gerenciamento de Cotações (Admin)"
"All Quotes","Todas as Cotações"
"Pending Quotes","Cotações Pendentes"
"Respond to Quote","Responder Cotação"
"Quote Response","Resposta da Cotação"
"Response Price","Preço de Resposta"
"Response Message","Mensagem de Resposta"
"Approve Quote","Aprovar Cotação"
"Reject Quote","Rejeitar Cotação"
"Mark as Processing","Marcar como Processando"
"Quote approved successfully","Cotação aprovada com sucesso"
"Quote rejected successfully","Cotação rejeitada com sucesso"
"Quote response saved","Resposta da cotação salva"

"Admin Customer Management","Gerenciamento de Clientes (Admin)"
"B2B Customers","Clientes B2B"
"All B2B Customers","Todos os Clientes B2B"
"Pending Approval","Aguardando Aprovação"
"Pending B2B Customers","Clientes B2B Pendentes"
"Approve Customer","Aprovar Cliente"
"Reject Customer","Rejeitar Cliente"
"Assign to Group","Atribuir ao Grupo"
"Customer approved successfully","Cliente aprovado com sucesso"
"Customer rejected successfully","Cliente rejeitado com sucesso"
"Approval Status","Status de Aprovação"
"Approved At","Aprovado Em"
"Admin Notes","Notas do Admin"

"Shopping Lists","Listas de Compras"
"My Shopping Lists","Minhas Listas de Compras"
"Create New List","Criar Nova Lista"
"List Name","Nome da Lista"
"Enter list name","Digite o nome da lista"
"Create List","Criar Lista"
"View List","Ver Lista"
"Edit List","Editar Lista"
"Delete List","Excluir Lista"
"Add Item","Adicionar Item"
"Remove Item","Remover Item"
"Add All to Cart","Adicionar Todos ao Carrinho"
"Items","Itens"
"No items in this list","Nenhum item nesta lista"
"List created successfully","Lista criada com sucesso"
"List deleted successfully","Lista excluída com sucesso"
"Item added to list","Item adicionado à lista"
"Item removed from list","Item removido da lista"
"All items added to cart","Todos os itens adicionados ao carrinho"

"Order Approval","Aprovação de Pedido"
"Order Pending Approval","Pedido Aguardando Aprovação"
"Approve Order","Aprovar Pedido"
"Reject Order","Rejeitar Pedido"
"Order approved","Pedido aprovado"
"Order rejected","Pedido rejeitado"

"Credit System","Sistema de Crédito"
"Credit Limit","Limite de Crédito"
"Available Credit","Crédito Disponível"
"Used Credit","Crédito Utilizado"
"Credit History","Histórico de Crédito"
"Insufficient credit","Crédito insuficiente"
"Credit limit exceeded","Limite de crédito excedido"

"Email Templates","Templates de Email"
"New B2B Customer Registration","Novo Cadastro de Cliente B2B"
"B2B Customer Approved","Cliente B2B Aprovado"
"B2B Customer Rejected","Cliente B2B Rejeitado"
"New Quote Request","Nova Solicitação de Cotação"
"Quote Response","Resposta da Cotação"
"Quote Approved","Cotação Aprovada"
"Quote Rejected","Cotação Rejeitada"
"Registration Confirmation","Confirmação de Cadastro"

"General Messages","Mensagens Gerais"
"Welcome, %1!","Bem-vindo(a), %1!"
"You are logged in as a B2B customer","Você está logado como cliente B2B"
"Your B2B account is active","Sua conta B2B está ativa"
"Your account is pending approval","Sua conta está aguardando aprovação"
"Your account has been rejected","Sua conta foi rejeitada"
"Contact us for more information","Entre em contato para mais informações"
"Login to see prices","Faça login para ver preços"
"Login to add to cart","Faça login para adicionar ao carrinho"
"B2B customers only","Somente clientes B2B"
"This product is available for B2B customers only","Este produto está disponível apenas para clientes B2B"

"Error Messages","Mensagens de Erro"
"An error occurred","Ocorreu um erro"
"Please try again","Por favor, tente novamente"
"Invalid request","Requisição inválida"
"Access denied","Acesso negado"
"You don't have permission to access this page","Você não tem permissão para acessar esta página"
"Session expired","Sessão expirada"
"Please login again","Por favor, faça login novamente"

"Buttons and Links","Botões e Links"
"Submit","Enviar"
"Cancel","Cancelar"
"Save","Salvar"
"Delete","Excluir"
"Edit","Editar"
"View","Ver"
"Back","Voltar"
"Continue","Continuar"
"Confirm","Confirmar"
"Close","Fechar"
"Search","Buscar"
"Filter","Filtrar"
"Reset","Limpar"
"Apply","Aplicar"
"Download","Baixar"
"Print","Imprimir"
"Export","Exportar"

"Table Headers","Cabeçalhos de Tabela"
"ID","ID"
"Name","Nome"
"Email","E-mail"
"Date","Data"
"Status","Status"
"Action","Ação"
"Actions","Ações"
"Total","Total"
"Quantity","Quantidade"
"Price","Preço"
"Subtotal","Subtotal"
"Product","Produto"
"SKU","SKU"
"Customer","Cliente"
"Company","Empresa"
"Group","Grupo"
"Created At","Criado Em"
"Updated At","Atualizado Em"

"Pagination","Paginação"
"Showing %1 to %2 of %3 items","Exibindo %1 a %2 de %3 itens"
"Items per page","Itens por página"
"First","Primeiro"
"Last","Último"
"Previous","Anterior"
"Next","Próximo"
"Page %1 of %2","Página %1 de %2"

"Date and Time","Data e Hora"
"Today","Hoje"
"Yesterday","Ontem"
"This Week","Esta Semana"
"This Month","Este Mês"
"Last 30 Days","Últimos 30 Dias"
"Last 90 Days","Últimos 90 Dias"
"Custom Range","Período Personalizado"
"From","De"
"To","Até"

"Currency and Numbers","Moeda e Números"
"R$","R$"
"BRL","BRL"
"Brazilian Real","Real Brasileiro"
"Discount","Desconto"
"Tax","Imposto"
"Shipping","Frete"
"Grand Total","Total Geral"

"CNPJ Validation API","Validação de CNPJ via API"
"Validating CNPJ...","Validando CNPJ..."
"CNPJ validated successfully","CNPJ validado com sucesso"
"Could not validate CNPJ","Não foi possível validar o CNPJ"
"CNPJ not found in Receita Federal","CNPJ não encontrado na Receita Federal"
"Company is inactive","Empresa inativa"
"Company status: %1","Situação da empresa: %1"

"Carriers B2B","Transportadoras B2B"
"B2B Carriers","Transportadoras B2B"
"Manage Carriers","Gerenciar Transportadoras"
"Add Carrier","Adicionar Transportadora"
"Edit Carrier","Editar Transportadora"
"Carrier Name","Nome da Transportadora"
"Carrier Code","Código da Transportadora"
"Carrier Active","Transportadora Ativa"
"Seed Default Carriers","Criar Transportadoras Padrão"

"Menu Labels","Rótulos do Menu"
"B2B","B2B"
"B2B Management","Gerenciamento B2B"
"Customers","Clientes"
"Quotes","Cotações"
"Credit Limits","Limites de Crédito"
"Carriers","Transportadoras"
"Settings","Configurações"
"Reports","Relatórios"

"ACL Resources","Recursos ACL"
"Grupo Awamotos B2B","Grupo Awamotos B2B"
"Customer Approval","Aprovação de Clientes"
"Quote Management","Gerenciamento de Cotações"
"Credit Management","Gerenciamento de Crédito"
"Carrier Management","Gerenciamento de Transportadoras"
"B2B Configuration","Configuração B2B"

"Widget Labels","Rótulos de Widget"
"B2B Login Banner","Banner de Login B2B"
"B2B Registration CTA","CTA de Cadastro B2B"
"B2B Benefits","Benefícios B2B"
"Become a B2B Customer","Torne-se um Cliente B2B"
"Register Now","Cadastre-se Agora"
"Learn More","Saiba Mais"
"Exclusive Prices","Preços Exclusivos"
"Volume Discounts","Descontos por Volume"
"Dedicated Support","Suporte Dedicado"
"Flexible Payment","Pagamento Flexível"
"Credit Terms","Condições de Crédito"
"Fast Shipping","Envio Rápido"

"Quick Order CSV","Pedido Rápido CSV"
"Arraste um arquivo CSV aqui ou clique para selecionar","Arraste um arquivo CSV aqui ou clique para selecionar"
"Formato: SKU, Quantidade (uma linha por produto)","Formato: SKU, Quantidade (uma linha por produto)"
"%1 produto(s) carregado(s) do CSV.","%1 produto(s) carregado(s) do CSV."
"O arquivo CSV não contém produtos válidos.","O arquivo CSV não contém produtos válidos."
"Selecione um arquivo .csv válido.","Selecione um arquivo .csv válido."
"Baixar modelo CSV","Baixar modelo CSV"
"Importar produtos via CSV","Importar produtos via CSV"
"Payment Term:","Condição de Pagamento:"
"Spot (Cash)","À Vista"
"30 days","30 dias"
"60 days","60 dias"
"90 days","90 dias"
"Select payment term","Selecione a condição de pagamento"

"Tier Pricing","Preço por Faixa"
"Quantity","Quantidade"
"Unit Price","Preço Unitário"
"Savings","Economia"
"%1+ units","%1+ unidades"
"Buy more, save more!","Compre mais, economize mais!"

"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","E-mail/CNPJ ou senha incorretos, ou sua conta está temporariamente desativada. Aguarde e tente novamente."

"Logradouro e número","Logradouro e número"

"Complemento","Complemento"

"Bairro","Bairro"

"Referência","Referência"
