"Popular Suggestions","Sugestões Populares"
"Added to your bag","Adicionado ao seu carrinho"
"Continue Shopping","Continuar comprando"
"Update Shopping Cart","Atualizar carrinho"
"Clear Shopping Cart","Limpar carrinho"
"Are you sure you want to remove all items from your shopping cart?","Deseja remover todos os itens do carrinho?"
"Are you sure you want to leave the page?","Deseja sair desta página?"
"Changes you made to the cart will not be saved.","As alterações no carrinho não serão salvas."
"Altere a quantidade e confirme com Enter ou ao sair do campo.","As quantidades são salvas automaticamente ao alterar."
"Quantities are saved automatically when you change them.","As quantidades são salvas automaticamente ao alterar."
"Updating cart…","Atualizando carrinho…"
"Cart updated.","Carrinho atualizado."
"Skip to order summary","Ir para resumo do pedido"
Qty,Qtd
"View Cart","Ver Carrinho"
"My Cart","Meu Carrinho"
"Ref:","Ref:"
"You have no items in your shopping cart.","Seu carrinho está vazio."
"Showing","Exibindo"
"of","de"
"item in cart summary"," item"
"items in cart summary"," itens"
"Remove item","Remover"
"Proceed to Checkout","Finalizar compra"
"Cart Subtotal","Subtotal do Carrinho"
"Browse our catalog","Explorar catálogo"
"Browse the catalog or use search to find parts.","Navegue pelo catálogo ou use a busca para encontrar peças."
"Decrease quantity","Diminuir quantidade"
"Increase quantity","Aumentar quantidade"
"View Compare List","Ver Lista de Comparação"
"Clear All","Limpar Tudo"
item,item
items,itens
Loading,Carregando...
"Now Shopping by","Filtrando por"
"Enter Your Email Address Here...","Digite seu e-mail aqui..."
"Show Less","Ver menos"
"Show More","Ver mais"
"Ver mais categorias","Ver mais categorias"
"Product Categories","Categorias de Produtos"
"found %1 products","encontrado(s) %1 produto(s)"
"Please select other tab to see more results","Selecione outra aba para ver mais resultados"
"Search across %1 products","Buscar entre %1 produtos"
"Buscar entre %1 produto","Buscar entre %1 produto"
"Buscar entre %1 produtos","Buscar entre %1 produtos"
"Search In","Buscar em"
"Login","Entrar"
"Sign In","Entrar"
"Log In","Entrar"
"Log in","Entrar"
"View all %d results →","Ver todos os %d resultados →"
"Sorry, nothing has been found for ""%s"".","Nenhum resultado encontrado para ""%s""."
"Apply Discount Code","Cupom de desconto"
"Enter discount code","Código do cupom"
"Apply Discount","Aplicar cupom"
"Cancel Coupon","Remover cupom"
"Shopping Cart Items","Itens do carrinho"
"Itens do carrinho","Itens do carrinho"
"Produto","Produto"
"Preço unit.","Preço unit."
"Qtd.","Qtd."
"Produto","Produto"
"Preço unit.","Preço unit."
"Qtd.","Qtd."
"Cart line: %1, quantity %2","Linha do carrinho: %1, quantidade %2"
"Estimate Shipping and Tax","Estimar frete e impostos"
"Resumo","Resumo"
"Detalhes do produto","Detalhes do produto"
"Marca","Marca"
"Modelo","Modelo"
"Ano","Ano"
"Material","Material"
"Cor","Cor"
"Page not found","Página não encontrada"
"Página não encontrada","Página não encontrada"
"The address you entered doesn't exist or has been moved.","O endereço que você acessou não existe ou foi movido."
"O endereço que você acessou não existe ou foi movido.","O endereço que você acessou não existe ou foi movido."
"Check the URL or use the search below.","Verifique a URL ou utilize a busca abaixo."
"Verifique a URL ou utilize a busca abaixo.","Verifique a URL ou utilize a busca abaixo."
"Search parts by SKU, EAN or name…","Buscar peças por SKU, EAN ou nome…"
"Buscar peças por SKU, EAN ou nome…","Buscar peças por SKU, EAN ou nome…"
"Search parts","Buscar peças"
"Buscar peças","Buscar peças"
"Useful links","Links úteis"
"Links úteis","Links úteis"
"Go to Home","Ir para o início"
"Ir para a Home","Ir para o início"
"Ir para o início","Ir para o início"
"Contact Us","Fale Conosco"
"Fale Conosco","Fale Conosco"
"Browse the catalog or use search to find parts.","Navegue pelo catálogo ou use a busca para encontrar peças."
"Import via CSV","Importar via CSV"
"Importar via CSV","Importar via CSV"
"SKU and quantity rows","Linhas de SKU e quantidade"
"Linhas de SKU e quantidade","Linhas de SKU e quantidade"
"Add new SKU row","Adicionar nova linha de SKU"
"Add products to cart","Adicionar produtos ao carrinho"
"Add row","Adicionar linha"
"Adicionar linha","Adicionar linha"
"Remove row","Remover linha"
"Remover linha","Remover linha"
"Import products via CSV. Drag the file or click to select.","Importar produtos via CSV. Arraste o arquivo ou clique para selecionar."
"Items in Cart","itens no carrinho"
"Search Tips","Dicas de busca"
"Double-check your spelling.","Verifique a ortografia do termo digitado."
"Try using separate words.","Tente usar palavras separadas."
"Try searching for an item that is less specific.","Tente buscar por um termo menos específico."
"You can always narrow your search results later","Você pode refinar os resultados depois usando os filtros"
"Your search returned no results.","Sua busca não retornou resultados."
"Show","Exibir"
"per page","por página"
"Voltar para o login","Voltar para entrar"
"Voltar para entrar","Voltar para entrar"
"Adicione peças ao carrinho para seguir ao checkout B2B.","Adicione peças ao carrinho para seguir à finalização do pedido B2B."
"Adicione peças ao carrinho para seguir à finalização do pedido B2B.","Adicione peças ao carrinho para seguir à finalização do pedido B2B."
"Adicione peças para seguir ao checkout.","Adicione peças para seguir à finalização do pedido."
"Você veio do checkout expresso. Adicione peças ao carrinho para continuar.","Você veio da finalização expressa. Adicione peças ao carrinho para continuar."
"Certificado digital no checkout e no cadastro","Certificado digital na finalização e no cadastro"
"Certificado digital na finalização e no cadastro","Certificado digital na finalização e no cadastro"
"Dados da empresa preenchidos automaticamente no checkout.","Dados da empresa preenchidos automaticamente na finalização do pedido."
"Preços indisponíveis. Você pode adicionar ao carrinho; o valor final é confirmado no checkout.","Preços indisponíveis. Você pode adicionar ao carrinho; o valor final é confirmado na finalização do pedido."

"Quick view","Visualização rápida"
"Faça login","Entrar"
"Já tem conta? Faça login","Já tem conta? Entrar"
"Additional Address Entries","Endereços adicionais"
"Additional addresses","Endereços adicionais"
"First Name","Nome"
"Last Name","Sobrenome"
"Street Address","Endereço"
"City","Cidade"
"Country","País"
"State","Estado"
"Zip/Postal Code","CEP"
"Phone","Telefone"
"Actions","Ações"
"Edit","Editar"
"Delete","Excluir"
"Back","Voltar"
"Personal Information","Informações pessoais"
"Address Information","Informações de endereço"
"Sign-in Information","Informações de acesso"
"Sign Up for Newsletter","Assinar newsletter"
"Password","Senha"
"Confirm Password","Confirmar senha"
"Password Strength","Força da senha"
"No Password","Sem senha"
"Create an Account","Criar conta"
"Address","Endereço"
"Please select a region, state or province.","Selecione um estado ou região."
"Cadastre filiais ou pontos de entrega alternativos para agilizar checkout e pedidos recorrentes.","Cadastre filiais ou pontos de entrega alternativos para agilizar a finalização do pedido e pedidos recorrentes."
"Para ver os preços faça o","Para ver os preços"
"Para ver os preços","Para ver os preços"

"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","E-mail/CNPJ ou senha incorretos, ou sua conta está temporariamente desativada. Aguarde e tente novamente."

"Logradouro e número","Logradouro e número"

"Complemento","Complemento"

"Bairro","Bairro"

"Referência","Referência"
"You are signed out","Seu Login foi finalizado"
